# Format: module_config	jacob_cov_score	num_params	N of Blocks	total_params	status
['SFF', 'SFF', 'SFF', 'M', 'M']	-1896.270469	2.541	8	22189568	success
['M', 'RFF', 'SFF', 'SFF', 'M']	-2019.346147	2.541	8	22189568	success
['M', 'M', 'RFF', 'SFF', 'SFF']	-2063.572849	2.541	8	22189568	success
['I', 'M', 'SFF', 'RFF', 'SFF']	-2139.404490	2.059	10	22449152	success
['SFF', 'SFF', 'M', 'M', 'SFF']	-2208.529915	2.541	8	22189568	success
['I', 'SFF', 'RFF', 'M', 'RFF']	-2253.063475	2.059	10	22449152	success
['I', 'I', 'SFF', 'SFF', 'M']	-2258.645498	1.533	13	21793280	success
['M', 'M', 'RFF', 'RFF', 'RFF']	-2448.707619	2.541	8	22189568	success
['RFF', 'RFF', 'SFF', 'M', 'M']	-2449.723549	2.541	8	22189568	success
['I', 'RFF', 'SFF', 'RFF', 'M']	-2461.748744	2.059	10	22449152	success
['M', 'SFF', 'M', 'RFF', 'RFF']	-2466.232834	2.541	8	22189568	success
['I', 'M', 'SFF', 'SFF', 'RFF']	-2604.803104	2.059	10	22449152	success
['I', 'I', 'SFF', 'RFF', 'M']	-2634.498495	1.533	13	21793280	success
['I', 'RFF', 'SFF', 'M', 'RFF']	-2670.802174	2.059	10	22449152	success
['RFF', 'M', 'SFF', 'SFF', 'M']	-2766.322780	2.541	8	22189568	success
['I', 'M', 'RFF', 'RFF', 'RFF']	-2935.200273	2.059	10	22449152	success
['I', 'SFF', 'M', 'RFF', 'RFF']	-3021.586666	2.059	10	22449152	success
['I', 'M', 'RFF', 'M', 'SFF']	-3054.045341	2.016	10	22016512	success
['I', 'RFF', 'RFF', 'M', 'M']	-3101.415862	2.016	10	22016512	success
['RFF', 'RFF', 'M', 'SFF', 'M']	-3122.522940	2.541	8	22189568	success
['I', 'SFF', 'SFF', 'RFF', 'M']	-3172.452035	2.059	10	22449152	success
['SFF', 'RFF', 'M', 'M', 'RFF']	-3274.998689	2.541	8	22189568	success
['I', 'SFF', 'M', 'SFF', 'SFF']	-3527.175210	2.059	10	22449152	success
['I', 'M', 'SFF', 'SFF', 'M']	-3640.307656	2.016	10	22016512	success
['SFF', 'M', 'SFF', 'SFF', 'M']	-4025.026804	2.541	8	22189568	success
['I', 'M', 'RFF', 'SFF', 'RFF']	-4045.790076	2.059	10	22449152	success
['I', 'SFF', 'RFF', 'SFF', 'M']	-4289.597219	2.059	10	22449152	success
['I', 'M', 'M', 'RFF', 'RFF']	-4302.431424	2.016	10	22016512	success
['I', 'M', 'M', 'RFF', 'SFF']	-4842.009451	2.016	10	22016512	success
['RFF', 'RFF', 'M', 'RFF', 'M']	-4977.069534	2.541	8	22189568	success
['M', 'RFF', 'SFF', 'RFF', 'M']	-5378.096437	2.541	8	22189568	success
['SFF', 'M', 'SFF', 'M', 'SFF']	-5433.155950	2.541	8	22189568	success
['RFF', 'M', 'RFF', 'SFF', 'M']	-5596.479806	2.541	8	22189568	success
['SFF', 'M', 'RFF', 'SFF', 'M']	-5613.793375	2.541	8	22189568	success
['M', 'M', 'RFF', 'RFF', 'SFF']	-5670.153472	2.541	8	22189568	success
['SFF', 'RFF', 'M', 'SFF', 'M']	-5679.747423	2.541	8	22189568	success
['I', 'RFF', 'SFF', 'M', 'M']	-5856.951232	2.016	10	22016512	success
['SFF', 'M', 'SFF', 'M', 'RFF']	-5913.687496	2.541	8	22189568	success
['M', 'M', 'SFF', 'RFF', 'RFF']	-6181.127615	2.541	8	22189568	success
['SFF', 'RFF', 'SFF', 'M', 'M']	-6306.705378	2.541	8	22189568	success
['I', 'RFF', 'M', 'SFF', 'M']	-6329.931073	2.016	10	22016512	success
['I', 'I', 'M', 'SFF', 'RFF']	-6838.039566	1.533	13	21793280	success
['I', 'I', 'RFF', 'M', 'M']	-6852.403594	1.490	13	21230848	success
['RFF', 'M', 'M', 'RFF', 'SFF']	-6933.597363	2.541	8	22189568	success
['I', 'SFF', 'M', 'RFF', 'M']	-7211.409075	2.016	10	22016512	success
['I', 'M', 'M', 'SFF', 'RFF']	-7271.930035	2.016	10	22016512	success
['RFF', 'SFF', 'M', 'SFF', 'M']	-7416.594237	2.541	8	22189568	success
['I', 'SFF', 'M', 'M', 'RFF']	-7451.812646	2.016	10	22016512	success
['SFF', 'SFF', 'RFF', 'M', 'M']	-8253.941309	2.541	8	22189568	success
['I', 'M', 'M', 'SFF', 'SFF']	-8859.497011	2.016	10	22016512	success
['I', 'I', 'M', 'RFF', 'RFF']	-9062.426422	1.533	13	21793280	success
['SFF', 'M', 'RFF', 'M', 'SFF']	-9614.953114	2.541	8	22189568	success
['SFF', 'SFF', 'M', 'M', 'RFF']	-9736.388533	2.541	8	22189568	success
['RFF', 'SFF', 'M', 'M', 'RFF']	-10662.217557	2.541	8	22189568	success
['RFF', 'M', 'M', 'SFF', 'RFF']	-10712.549127	2.541	8	22189568	success
['I', 'I', 'RFF', 'M', 'RFF']	-11349.800612	1.533	13	21793280	success
['M', 'M', 'SFF', 'RFF', 'SFF']	-11720.099868	2.541	8	22189568	success
['M', 'SFF', 'SFF', 'RFF', 'M']	-12082.611129	2.541	8	22189568	success
['RFF', 'M', 'SFF', 'M', 'SFF']	-12218.433938	2.541	8	22189568	success
['M', 'RFF', 'M', 'SFF', 'SFF']	-12535.085595	2.541	8	22189568	success
['I', 'M', 'SFF', 'RFF', 'M']	-14547.386574	2.016	10	22016512	success
['M', 'M', 'SFF', 'SFF', 'RFF']	-14624.484602	2.541	8	22189568	success
['I', 'SFF', 'RFF', 'M', 'M']	-14898.509722	2.016	10	22016512	success
['I', 'I', 'RFF', 'SFF', 'M']	-15372.443120	1.533	13	21793280	success
['I', 'M', 'RFF', 'SFF', 'M']	-15458.930776	2.016	10	22016512	success
['M', 'RFF', 'RFF', 'M', 'SFF']	-15576.842407	2.541	8	22189568	success
['M', 'M', 'RFF', 'SFF', 'RFF']	-17212.015514	2.541	8	22189568	success
['M', 'RFF', 'RFF', 'RFF', 'M']	-18945.776981	2.541	8	22189568	success
['M', 'SFF', 'M', 'SFF', 'RFF']	-19250.733048	2.541	8	22189568	success
['M', 'RFF', 'SFF', 'M', 'SFF']	-20239.789417	2.541	8	22189568	success
['I', 'I', 'M', 'SFF', 'M']	-21918.867986	1.490	13	21230848	success
['I', 'RFF', 'M', 'M', 'RFF']	-24444.576851	2.016	10	22016512	success
['I', 'M', 'SFF', 'RFF', 'RFF']	-25179.768508	2.059	10	22449152	success
['RFF', 'RFF', 'RFF', 'M', 'M']	-26928.831824	2.541	8	22189568	success
['RFF', 'M', 'SFF', 'M', 'RFF']	-28553.235967	2.541	8	22189568	success
['SFF', 'SFF', 'M', 'SFF', 'M']	-32813.159869	2.541	8	22189568	success
['I', 'RFF', 'M', 'M', 'SFF']	-34189.609166	2.016	10	22016512	success
['I', 'RFF', 'M', 'RFF', 'RFF']	-35235.711104	2.059	10	22449152	success
['I', 'SFF', 'M', 'RFF', 'SFF']	-38526.723887	2.059	10	22449152	success
['I', 'I', 'I', 'RFF', 'M']	-39149.766217	1.008	20	22016512	success
['RFF', 'RFF', 'M', 'M', 'SFF']	-41800.677422	2.541	8	22189568	success
['I', 'RFF', 'RFF', 'M', 'SFF']	-44824.235835	2.059	10	22449152	success
['SFF', 'M', 'M', 'RFF', 'RFF']	-46387.701770	2.541	8	22189568	success
['RFF', 'SFF', 'M', 'M', 'SFF']	-51107.297692	2.541	8	22189568	success
['M', 'SFF', 'SFF', 'M', 'SFF']	-51373.930022	2.541	8	22189568	success
['RFF', 'M', 'M', 'SFF', 'SFF']	-51435.260862	2.541	8	22189568	success
['I', 'I', 'RFF', 'M', 'SFF']	-51484.637025	1.533	13	21793280	success
['I', 'M', 'SFF', 'M', 'RFF']	-52161.832612	2.016	10	22016512	success
['M', 'SFF', 'RFF', 'RFF', 'M']	-53432.646430	2.541	8	22189568	success
['I', 'RFF', 'RFF', 'M', 'RFF']	-55240.392581	2.059	10	22449152	success
['M', 'SFF', 'RFF', 'M', 'RFF']	-56117.493772	2.541	8	22189568	success
['I', 'M', 'RFF', 'SFF', 'SFF']	-56649.869793	2.059	10	22449152	success
['M', 'RFF', 'RFF', 'SFF', 'M']	-57351.942191	2.541	8	22189568	success
['SFF', 'M', 'M', 'SFF', 'SFF']	-67945.504341	2.541	8	22189568	success
['I', 'I', 'M', 'M', 'RFF']	-67985.479154	1.490	13	21230848	success
['RFF', 'RFF', 'M', 'M', 'RFF']	-68286.937930	2.541	8	22189568	success
['I', 'SFF', 'M', 'SFF', 'RFF']	-68686.597447	2.059	10	22449152	success
['I', 'RFF', 'M', 'RFF', 'M']	-75064.513602	2.016	10	22016512	success
['SFF', 'RFF', 'M', 'RFF', 'M']	-90239.046280	2.541	8	22189568	success
['M', 'M', 'SFF', 'SFF', 'SFF']	-100505.623941	2.541	8	22189568	success
['I', 'I', 'I', 'M', 'RFF']	-100883.408593	1.008	20	22016512	success
['I', 'I', 'M', 'M', 'SFF']	-101013.349027	1.490	13	21230848	success
['SFF', 'RFF', 'M', 'M', 'SFF']	-101361.668909	2.541	8	22189568	success
['I', 'SFF', 'SFF', 'SFF', 'M']	-102124.077821	2.059	10	22449152	success
['I', 'I', 'M', 'SFF', 'SFF']	-103043.909087	1.533	13	21793280	success
['I', 'I', 'SFF', 'M', 'RFF']	-104826.890848	1.533	13	21793280	success
['I', 'I', 'SFF', 'M', 'M']	-111431.755503	1.490	13	21230848	success
['M', 'RFF', 'SFF', 'M', 'RFF']	-200291.901564	2.541	8	22189568	success
['I', 'SFF', 'SFF', 'M', 'RFF']	-200798.312222	2.059	10	22449152	success
['I', 'RFF', 'SFF', 'SFF', 'M']	-201630.938953	2.059	10	22449152	success
['I', 'I', 'I', 'M', 'M']	NaN	0.965	21	22116864	all_nan
['I', 'I', 'I', 'M', 'SFF']	NaN	1.008	20	22016512	all_nan
['I', 'I', 'SFF', 'M', 'SFF']	NaN	1.533	13	21793280	all_nan
['I', 'SFF', 'SFF', 'M', 'M']	NaN	2.016	10	22016512	all_nan
['I', 'SFF', 'M', 'SFF', 'M']	NaN	2.016	10	22016512	all_nan
['I', 'SFF', 'M', 'M', 'SFF']	NaN	2.016	10	22016512	all_nan
['I', 'RFF', 'RFF', 'RFF', 'M']	NaN	2.059	10	22449152	all_nan
['I', 'RFF', 'M', 'RFF', 'SFF']	NaN	2.059	10	22449152	all_nan
['I', 'RFF', 'M', 'SFF', 'SFF']	NaN	2.059	10	22449152	all_nan
['I', 'SFF', 'RFF', 'RFF', 'M']	NaN	2.059	10	22449152	all_nan
['I', 'SFF', 'RFF', 'M', 'SFF']	NaN	2.059	10	22449152	all_nan
['I', 'SFF', 'SFF', 'M', 'SFF']	NaN	2.059	10	22449152	all_nan
['I', 'M', 'RFF', 'RFF', 'SFF']	NaN	2.059	10	22449152	all_nan
['I', 'M', 'SFF', 'SFF', 'SFF']	NaN	2.059	10	22449152	all_nan
['RFF', 'M', 'RFF', 'M', 'RFF']	NaN	2.541	8	22189568	all_nan
['SFF', 'RFF', 'RFF', 'M', 'M']	NaN	2.541	8	22189568	all_nan
['SFF', 'SFF', 'M', 'RFF', 'M']	NaN	2.541	8	22189568	all_nan
['SFF', 'M', 'M', 'SFF', 'RFF']	NaN	2.541	8	22189568	all_nan
['M', 'RFF', 'M', 'RFF', 'RFF']	NaN	2.541	8	22189568	all_nan
['M', 'RFF', 'M', 'RFF', 'SFF']	NaN	2.541	8	22189568	all_nan
['M', 'SFF', 'RFF', 'SFF', 'M']	NaN	2.541	8	22189568	all_nan
['M', 'SFF', 'RFF', 'M', 'SFF']	NaN	2.541	8	22189568	all_nan
['M', 'SFF', 'SFF', 'SFF', 'M']	NaN	2.541	8	22189568	all_nan
['M', 'SFF', 'M', 'RFF', 'SFF']	NaN	2.541	8	22189568	all_nan
['M', 'SFF', 'M', 'SFF', 'SFF']	NaN	2.541	8	22189568	all_nan
