# Format: module_config	synflow_score	num_params	N of Blocks	total_params	status
['C', 'M', 'RFF', 'SFF', 'SFF']	0.002235	2.265	9	22247424	success
['M', 'M', 'C', 'C', 'C']	0.002235	1.583	13	22448896	success
['C', 'M', 'SFF', 'SFF', 'SFF']	0.002235	2.265	9	22247424	success
['M', 'SFF', 'SFF', 'RFF', 'C']	0.002235	2.265	9	22247424	success
['M', 'C', 'C', 'M', 'RFF']	0.002235	1.902	11	22792448	success
['SFF', 'C', 'M', 'M', 'C']	0.002235	1.902	11	22792448	success
['SFF', 'RFF', 'M', 'SFF', 'C']	0.002235	2.265	9	22247424	success
['RFF', 'C', 'M', 'M', 'C']	0.002235	1.902	11	22792448	success
['RFF', 'M', 'C', 'M', 'C']	0.002234	1.902	11	22792448	success
['C', 'RFF', 'RFF', 'M', 'RFF']	0.002234	2.265	9	22247424	success
['C', 'RFF', 'SFF', 'RFF', 'M']	0.002234	2.265	9	22247424	success
['SFF', 'C', 'C', 'M', 'M']	0.002234	1.902	11	22792448	success
['C', 'M', 'C', 'SFF', 'M']	0.002234	1.902	11	22792448	success
['M', 'RFF', 'RFF', 'SFF', 'C']	0.002234	2.265	9	22247424	success
['M', 'M', 'SFF', 'C', 'C']	0.002234	1.902	11	22792448	success
['I', 'SFF', 'SFF', 'SFF', 'M']	0.002234	2.059	10	22449152	success
['C', 'SFF', 'RFF', 'M', 'SFF']	0.002234	2.265	9	22247424	success
['SFF', 'RFF', 'C', 'M', 'RFF']	0.002233	2.265	9	22247424	success
['M', 'C', 'C', 'M', 'C']	0.002233	1.583	13	22448896	success
['M', 'M', 'RFF', 'RFF', 'SFF']	0.002233	2.541	8	22189568	success
['M', 'RFF', 'SFF', 'M', 'RFF']	0.002233	2.541	8	22189568	success
['SFF', 'M', 'RFF', 'C', 'SFF']	0.002232	2.265	9	22247424	success
['C', 'M', 'SFF', 'RFF', 'RFF']	0.002232	2.265	9	22247424	success
['SFF', 'M', 'SFF', 'M', 'SFF']	0.002232	2.541	8	22189568	success
['M', 'C', 'C', 'SFF', 'M']	0.002231	1.902	11	22792448	success
['I', 'SFF', 'RFF', 'M', 'RFF']	0.002231	2.059	10	22449152	success
['C', 'RFF', 'M', 'M', 'C']	0.002231	1.902	11	22792448	success
['C', 'C', 'SFF', 'M', 'M']	0.002231	1.902	11	22792448	success
['M', 'C', 'SFF', 'C', 'M']	0.002230	1.902	11	22792448	success
['RFF', 'M', 'C', 'SFF', 'RFF']	0.002230	2.265	9	22247424	success
['RFF', 'RFF', 'C', 'M', 'SFF']	0.002230	2.265	9	22247424	success
['C', 'RFF', 'RFF', 'M', 'SFF']	0.002230	2.265	9	22247424	success
['SFF', 'RFF', 'C', 'RFF', 'M']	0.002229	2.265	9	22247424	success
['M', 'RFF', 'SFF', 'C', 'RFF']	0.002229	2.265	9	22247424	success
['M', 'C', 'RFF', 'RFF', 'SFF']	0.002229	2.265	9	22247424	success
['C', 'M', 'M', 'C', 'RFF']	0.002229	1.902	11	22792448	success
['SFF', 'SFF', 'SFF', 'C', 'M']	0.002229	2.265	9	22247424	success
['RFF', 'RFF', 'M', 'M', 'SFF']	0.002229	2.541	8	22189568	success
['RFF', 'RFF', 'M', 'C', 'SFF']	0.002229	2.265	9	22247424	success
['M', 'M', 'RFF', 'C', 'C']	0.002228	1.902	11	22792448	success
['I', 'RFF', 'RFF', 'M', 'RFF']	0.002228	2.059	10	22449152	success
['SFF', 'C', 'SFF', 'M', 'RFF']	0.002228	2.265	9	22247424	success
['C', 'SFF', 'M', 'M', 'C']	0.002227	1.902	11	22792448	success
['SFF', 'SFF', 'C', 'M', 'SFF']	0.002227	2.265	9	22247424	success
['SFF', 'M', 'C', 'RFF', 'SFF']	0.002226	2.265	9	22247424	success
['C', 'M', 'C', 'RFF', 'M']	0.002226	1.902	11	22792448	success
['C', 'SFF', 'SFF', 'M', 'SFF']	0.002226	2.265	9	22247424	success
['I', 'M', 'SFF', 'SFF', 'SFF']	0.002226	2.059	10	22449152	success
['C', 'SFF', 'M', 'C', 'M']	0.002225	1.902	11	22792448	success
['C', 'M', 'M', 'RFF', 'C']	0.002225	1.902	11	22792448	success
['RFF', 'C', 'SFF', 'M', 'SFF']	0.002225	2.265	9	22247424	success
['C', 'M', 'RFF', 'RFF', 'RFF']	0.002225	2.265	9	22247424	success
['C', 'M', 'C', 'M', 'RFF']	0.002225	1.902	11	22792448	success
['SFF', 'RFF', 'RFF', 'M', 'C']	0.002225	2.265	9	22247424	success
['C', 'C', 'M', 'M', 'RFF']	0.002224	1.902	11	22792448	success
['RFF', 'RFF', 'RFF', 'M', 'M']	0.002223	2.541	8	22189568	success
['SFF', 'SFF', 'RFF', 'C', 'M']	0.002223	2.265	9	22247424	success
['RFF', 'C', 'C', 'M', 'M']	0.002223	1.902	11	22792448	success
['C', 'M', 'M', 'C', 'SFF']	0.002223	1.902	11	22792448	success
['M', 'M', 'C', 'SFF', 'C']	0.002222	1.902	11	22792448	success
['I', 'M', 'SFF', 'SFF', 'RFF']	0.002222	2.059	10	22449152	success
['M', 'C', 'M', 'C', 'C']	0.002221	1.583	13	22448896	success
['M', 'RFF', 'C', 'C', 'M']	0.002221	1.902	11	22792448	success
['I', 'M', 'SFF', 'RFF', 'RFF']	0.002221	2.059	10	22449152	success
['I', 'C', 'M', 'M', 'C']	0.002221	1.377	15	22520832	success
['I', 'M', 'SFF', 'RFF', 'SFF']	0.002221	2.059	10	22449152	success
['I', 'RFF', 'SFF', 'RFF', 'M']	0.002220	2.059	10	22449152	success
['RFF', 'M', 'C', 'C', 'M']	0.002220	1.902	11	22792448	success
['M', 'RFF', 'SFF', 'SFF', 'C']	0.002220	2.265	9	22247424	success
['I', 'SFF', 'SFF', 'M', 'SFF']	0.002217	2.059	10	22449152	success
['I', 'SFF', 'RFF', 'SFF', 'M']	0.002217	2.059	10	22449152	success
['C', 'M', 'M', 'SFF', 'C']	0.002216	1.902	11	22792448	success
['I', 'RFF', 'M', 'RFF', 'SFF']	0.002216	2.059	10	22449152	success
['SFF', 'M', 'M', 'C', 'C']	0.002216	1.902	11	22792448	success
['RFF', 'M', 'M', 'C', 'C']	0.002216	1.902	11	22792448	success
['M', 'SFF', 'M', 'C', 'C']	0.002215	1.902	11	22792448	success
['SFF', 'SFF', 'M', 'RFF', 'C']	0.002215	2.265	9	22247424	success
['C', 'C', 'RFF', 'M', 'M']	0.002215	1.902	11	22792448	success
['M', 'M', 'C', 'C', 'RFF']	0.002214	1.902	11	22792448	success
['RFF', 'M', 'SFF', 'C', 'RFF']	0.002214	2.265	9	22247424	success
['RFF', 'C', 'SFF', 'M', 'RFF']	0.002214	2.265	9	22247424	success
['I', 'RFF', 'SFF', 'M', 'RFF']	0.002214	2.059	10	22449152	success
['M', 'M', 'C', 'RFF', 'C']	0.002214	1.902	11	22792448	success
['C', 'SFF', 'RFF', 'SFF', 'M']	0.002214	2.265	9	22247424	success
['C', 'M', 'C', 'M', 'SFF']	0.002213	1.902	11	22792448	success
['SFF', 'RFF', 'M', 'C', 'SFF']	0.002212	2.265	9	22247424	success
['C', 'C', 'M', 'RFF', 'M']	0.002212	1.902	11	22792448	success
['M', 'C', 'M', 'RFF', 'C']	0.002211	1.902	11	22792448	success
['I', 'SFF', 'M', 'SFF', 'RFF']	0.002211	2.059	10	22449152	success
['M', 'C', 'M', 'C', 'RFF']	0.002211	1.902	11	22792448	success
['RFF', 'SFF', 'C', 'M', 'RFF']	0.002211	2.265	9	22247424	success
['RFF', 'C', 'RFF', 'M', 'RFF']	0.002210	2.265	9	22247424	success
['SFF', 'C', 'RFF', 'RFF', 'M']	0.002210	2.265	9	22247424	success
['C', 'C', 'M', 'SFF', 'M']	0.002209	1.902	11	22792448	success
['C', 'C', 'M', 'M', 'SFF']	0.002209	1.902	11	22792448	success
['M', 'C', 'SFF', 'M', 'C']	0.002209	1.902	11	22792448	success
['SFF', 'M', 'RFF', 'RFF', 'C']	0.002208	2.265	9	22247424	success
['C', 'RFF', 'M', 'C', 'M']	0.002208	1.902	11	22792448	success
['C', 'SFF', 'C', 'M', 'M']	0.002207	1.902	11	22792448	success
['M', 'C', 'C', 'RFF', 'M']	0.002207	1.902	11	22792448	success
['M', 'SFF', 'C', 'SFF', 'RFF']	0.002207	2.265	9	22247424	success
['SFF', 'RFF', 'SFF', 'C', 'M']	0.002206	2.265	9	22247424	success
['SFF', 'C', 'M', 'C', 'M']	0.002206	1.902	11	22792448	success
['M', 'C', 'RFF', 'M', 'C']	0.002205	1.902	11	22792448	success
['M', 'C', 'M', 'C', 'SFF']	0.002205	1.902	11	22792448	success
['M', 'RFF', 'M', 'C', 'C']	0.002203	1.902	11	22792448	success
['RFF', 'C', 'M', 'C', 'M']	0.002203	1.902	11	22792448	success
['M', 'C', 'M', 'SFF', 'C']	0.002203	1.902	11	22792448	success
['SFF', 'M', 'C', 'C', 'M']	0.002203	1.902	11	22792448	success
['C', 'RFF', 'C', 'M', 'M']	0.002202	1.902	11	22792448	success
['I', 'SFF', 'RFF', 'RFF', 'M']	0.002202	2.059	10	22449152	success
['I', 'M', 'RFF', 'RFF', 'RFF']	0.002201	2.059	10	22449152	success
['I', 'SFF', 'SFF', 'RFF', 'M']	0.002201	2.059	10	22449152	success
['M', 'C', 'C', 'M', 'SFF']	0.002199	1.902	11	22792448	success
['C', 'M', 'SFF', 'C', 'M']	0.002198	1.902	11	22792448	success
['C', 'M', 'RFF', 'M', 'C']	0.002197	1.902	11	22792448	success
['M', 'SFF', 'C', 'M', 'C']	0.002196	1.902	11	22792448	success
['M', 'C', 'RFF', 'C', 'M']	0.002195	1.902	11	22792448	success
['C', 'M', 'RFF', 'C', 'M']	0.002192	1.902	11	22792448	success
['I', 'SFF', 'RFF', 'M', 'SFF']	0.002191	2.059	10	22449152	success
['M', 'RFF', 'C', 'M', 'C']	0.002184	1.902	11	22792448	success
['I', 'RFF', 'SFF', 'M', 'SFF']	0.002181	2.059	10	22449152	success
